"","region_name_final","mean_N_price","SD_N_price","Latitude","Longitude"
"1","Arusha",3304.3731884058,28.3316927000577,-3.24296833333333,-3.24296833333333
"2","Dodoma",3248.86956521739,15.8655061600405,-5.887975,-5.887975
"3","Dar es Salaam",3049.6902173913,1.69053815533952,-6.83437875,-6.83437875
"4","Geita",3419.11801242236,18.2093599654181,-3.05651714285714,-3.05651714285714
"5","Iringa",3273.60869565217,11.7893611326834,-8.013105,-8.013105
"6","Kagera",3485.16666666667,30.1744930138321,-1.86311583333333,-1.86311583333333
"7","Katavi",3495.26086956522,38.4561813340551,-6.36091666666667,-6.36091666666667
"8","Kigoma",3451.90869565217,26.6115960182418,-4.532654,-4.532654
"9","Kilimanjaro",3264.038647343,12.2653099507251,-3.40427,-3.40427
"10","Lindi",3253.42236024845,13.0045000762899,-9.87710571428571,-9.87710571428571
"11","Manyara",3347.21118012422,19.6712333601674,-4.39803571428571,-4.39803571428571
"12","Mara",3490.80193236715,22.3304270696935,-1.58125,-1.58125
"13","Mbeya",3340.71739130435,27.9451934584306,-9.01452625,-9.01452625
"14","Morogoro",3214.04619565217,24.3875114917695,-7.4765475,-7.4765475
"15","Mtwara",3282.0347826087,14.2359095815161,-10.62563,-10.62563
"16","Mwanza",3413.04710144928,19.0912143623795,-2.59676083333333,-2.59676083333333
"17","Njombe",3305.60869565217,18.7976154489298,-9.25242142857143,-9.25242142857143
"18","Pwani",3160.01811594203,16.3727887197015,-6.97743083333333,-6.97743083333333
"19","Rukwa",3455.66956521739,33.3393447635487,-7.93234,-7.93234
"20","Ruvuma",3400.98695652174,34.8111419801926,-10.886168,-10.886168
"21","Shinyanga",3414.24456521739,23.480077425699,-3.6864775,-3.6864775
"22","Simiyu",3416.50543478261,11.174213629135,-2.98932625,-2.98932625
"23","Singida",3304.03804347826,23.5344902637401,-4.9186375,-4.9186375
"24","Songwe",3412,26.9645570071818,-9.02915,-9.02915
"25","Tabora",3375.01449275362,27.8448391297665,-4.82593444444444,-4.82593444444444
"26","Tanga",3221.76006441224,23.3924182275425,-5.00244777777778,-5.00244777777778
