Average of N_price_USD,Column Labels,,,,,
Row Labels,2008,2010,2012,2014,2020,Grand Total
Arusha,1.456460773,1.457256954,1.450441898,1.441844592,1.44585646,1.450372135
Dar es Salaam,,1.390411308,1.389235412,,1.382301139,1.387315953
Dodoma,1.475380789,1.47623148,1.475834273,1.46236083,1.464426713,1.470846817
Iringa,1.474539371,1.474923712,1.472190251,1.472703921,1.474886754,1.473848802
Kagera,1.5046136,1.508282461,1.503626635,1.504484877,1.499861765,1.504173868
Katavi,1.494082178,,1.488714034,1.492564701,1.497769811,1.493282681
Kigoma,1.500292806,1.503522552,1.503634388,1.495359054,1.494241,1.49940996
Kilimanjaro,1.446876471,1.446075229,1.446847793,1.445161892,1.442747409,1.445541759
Lindi,1.476962671,1.475641839,1.477860268,1.483731462,1.478475843,1.478534417
Manyara,,1.468273692,1.469203455,1.475214215,1.474258009,1.471737343
Mara,,1.460090037,1.459947503,1.483481037,1.482419187,1.471484441
Mbeya,1.492276261,1.493096673,1.492989647,1.485733774,1.485424111,1.489904093
Morogoro,1.46623873,1.464788901,1.463911013,1.45548831,1.472043232,1.464494037
Mtwara,1.482631227,1.482283185,1.481957994,1.479419853,1.478052355,1.480868923
Mwanza,1.472198318,1.453707308,1.462223583,1.461376481,1.463696424,1.462640423
Njombe,1.485860853,1.486880556,1.486040995,1.479828362,1.479924311,1.483707015
Rukwa,1.507250273,1.507805975,1.507305463,1.487505694,1.496884342,1.501350349
Ruvuma,1.503067045,1.502578236,1.499547771,1.482352708,1.488026249,1.495114402
Shinyanga,1.473311105,1.488715465,1.475527428,1.478326885,1.477677235,1.478711624
Tabora,1.468091827,1.471396659,1.470658486,1.474618295,1.475246836,1.472002421
Tanga,1.46735282,1.467744509,1.466217998,1.462064469,1.461190913,1.464914142
Grand Total,1.480415951,1.473985336,1.473519823,1.475181071,1.472162386,1.474901416
